hoa_name,subdivision_name,status,pdo_parcel_count,pdo_streets,state_registry_num,state_registry_date,website,address,phone,notes,data_sources
Mountain Ranch Property Owners Association (MRPOA),,confirmed,0,,,,https://mrpoa-ashland.com/,"1467 Siskiyou Blvd #341, Ashland, OR 97520",,"74 homes, 26 acres, est. late 1970s",web
Oak Knoll Meadows Homeowners Association,,confirmed,0,,17301110,,,"241 Maple St Ste 100, Ashland, OR 97520",,"Registry 17301110, est. 1983",SOS registry
Rosskeen Subdivision HOA,,confirmed,0,,39279781,,,"356 Otis St, Ashland, OR 97520",,Registry 39279781,SOS registry
Vander Lind HOA,,confirmed,0,,99789498,,,"410 Guthrie St, Ashland, OR 97520",,Registry 99789498,SOS registry
Strawberry Meadows Subdivision A P.C.,Strawberry Meadows Subdivision A P.C.,uncertain,19,BIRDSONG LN; HITT RD; STRAWBERRY LN,,,,,,No web presence,pdo;web_search
Quinn Subdivision A P.C.,Quinn Subdivision A P.C.,uncertain,14,FAIR OAKS CT; PATTON LN; PLUM RIDGE DR,,,,,,No web presence,pdo;web_search
"Park Ridge Subdivision, Phase 2 A P.U.D.","Park Ridge Subdivision, Phase 2 A P.U.D.",uncertain,11,PARK RIDGE PL,,,,,,No web presence,pdo;web_search
"Clear Creek Village, Phase 2 A P.C.","Clear Creek Village, Phase 2 A P.C.",uncertain,9,CLEAR CREEK DR; CLEAR CREEK DR 101; E HERSEY ST 1-5,,,,,,Possibly related to East Village HOA,pdo;web_search
Park Place Condominiums,Park Place Condominiums,uncertain,9,PARK ST,,,,,,No Ashland-specific result,pdo;web_search
Shelterwood Condominium Supp Plat No I,Shelterwood Condominium Supp Plat No I,uncertain,8,NORMAL AVE,,,,,,No web presence,pdo;web_search
Siskiyou Springs Condominium,Siskiyou Springs Condominium,uncertain,4,PARK ST,,,,,,No web presence,pdo;web_search
"Gould Townhouses, A P.C.","Gould Townhouses, A P.C.",uncertain,2,LAUREL ST N,,,,,,No results,pdo;web_search
Jasmine Building Condominium,Jasmine Building Condominium,likely_not_hoa,8,LITHIA WAY 102; LITHIA WAY 201; LITHIA WAY 202; LITHIA WAY 203; LITHIA WAY 205; LITHIA WAY 206; LITHIA WAY 301; LITHIA WAY 302,,,,,,Likely commercial,pdo;web_search
Alida Blaine Condominium,Alida Blaine Condominium,likely_not_hoa,4,ALIDA ST; BLAINE ST,,,,,,No results,pdo;web_search
Ashland East Main Street Condominium,Ashland East Main Street Condominium,likely_not_hoa,4,MAIN ST E,,,,,,No results,pdo;web_search
Ashland Medical Center A P.C.,Ashland Medical Center A P.C.,likely_not_hoa,4,N MAIN ST,,,,,,Commercial/medical,pdo;web_search
Larkin Lane Condominium,Larkin Lane Condominium,likely_not_hoa,4,LARKIN LN,,,,,,No results,pdo;web_search
"Replat Of Lots 9,10,12,13, & Common Area Of Washington Professional Plaza, A P.C.","Replat Of Lots 9,10,12,13, & Common Area Of Washington Professional Plaza, A P.C.",likely_not_hoa,3,WASHINGTON ST,,,,,,Commercial office,pdo;web_search
